feature_block,test_year,n_common,mse_joint,mse_sep,delta_mse,mae_joint,mae_sep,delta_mae,mse_trim_joint,mse_trim_sep,delta_mse_trim,trim_q
F3,2011,29264,0.0005745950857171656,0.0005794153233947857,-4.820237677620096e-06,0.015467626198654747,0.015600745254573287,-0.00013311905591853988,0.0004183497505555764,0.0004234678982143667,-5.1181476587903335e-06,0.01
F3,2012,29833,0.0003418578652337271,0.0003444891402837034,-2.6312750499762937e-06,0.012129115307273116,0.012184569015957436,-5.545370868432001e-05,0.00025167610501073724,0.000253856100318402,-2.179995307664785e-06,0.01
F3,2013,30564,0.0003233253356546322,0.0003239440799651253,-6.187443104930948e-07,0.011355748028005026,0.011421756023020832,-6.600799501580573e-05,0.00021279924330308523,0.0002139740877243313,-1.1748444212460608e-06,0.01
F3,2014,31923,0.0005200646977895385,0.0005216414041732176,-1.5767063836790753e-06,0.011582512733271794,0.011687783992325436,-0.00010527125905364192,0.00021467911770607008,0.00021748039059712586,-2.8012728910557837e-06,0.01
F3,2015,31626,0.0005087823594144168,0.0005118593879930292,-3.0770285786124426e-06,0.012846148397360096,0.012939552266998585,-9.340386963848854e-05,0.00026687750608682517,0.0002712901167743714,-4.412610687546238e-06,0.01
F3,2016,32399,0.0003866708116056695,0.0003894289797595245,-2.7581681538549926e-06,0.012514047078518163,0.01262603791597949,-0.00011199083746132703,0.00026258059073966194,0.0002656724469723708,-3.0918562327088544e-06,0.01
F3,2017,32204,0.00027849800877354126,0.0002805926899564199,-2.0946811828786147e-06,0.010172665783114758,0.0102164854032652,-4.381962015044191e-05,0.00017101645783141074,0.00017260108899414824,-1.5846311627375025e-06,0.01
F3,2018,32112,0.0004248013279081025,0.0004266495668124593,-1.8482389043567873e-06,0.013157257873105834,0.013204949738201062,-4.7691865095227104e-05,0.00028766746751404215,0.00028965583909562137,-1.988371581579222e-06,0.01
F3,2019,31904,0.00043675956913218555,0.0004423069110853025,-5.547341953116925e-06,0.012408106458979938,0.012508446683359008,-0.00010034022437906999,0.0002541045918180081,0.000257007868152995,-2.9032763349868575e-06,0.01
F3,2020,31883,0.0007705141861968883,0.000773150908348841,-2.636722151952691e-06,0.017501445546590267,0.01754296432876461,-4.151878217434346e-05,0.0005283734535377855,0.0005309456479936507,-2.572194455865203e-06,0.01
F3,2021,31857,0.00033834800289599045,0.00034030414251184503,-1.9561396158545826e-06,0.012340409807237414,0.012385454720433661,-4.504491319624708e-05,0.00024388902325023364,0.0002452433463228957,-1.3543230726620348e-06,0.01
F3,2022,31459,0.0005886698387103339,0.0005919178796504598,-3.2480409401258216e-06,0.01637850917744608,0.016423111731409434,-4.460255396335211e-05,0.0004295217031434491,0.00043243507597929664,-2.91337283584754e-06,0.01
F3,2023,30540,0.0005135265505690254,0.0005172166337836151,-3.6900832145897195e-06,0.013454600018638936,0.013507446394622273,-5.284637598333697e-05,0.0003011576467610915,0.00030311004759784335,-1.952400836751863e-06,0.01
F3,2024,29587,0.001209323944480922,0.0012094900285672045,-1.6608408628243643e-07,0.01391284177630145,0.013938017155186912,-2.5175378885461744e-05,0.000318398471118065,0.000319517222119762,-1.118751001697013e-06,0.01
F3,2025,19084,0.0006959827370932283,0.0007049725268758737,-8.989789782645361e-06,0.014840707296027366,0.014945976913225361,-0.00010526961719799569,0.00037944774103901123,0.00038416017247983725,-4.712431440826023e-06,0.01
