test_year,n_assets,mean_mse_sep,mean_mse_joint,delta_mean_mse,cross_asset_std_mean_pred_sep,cross_asset_std_mean_pred_joint,delta_cross_asset_std_mean_pred,avg_within_std_pred_sep,avg_within_std_pred_joint,delta_avg_within_std_pred,corr_delta_stdpred_delta_mse,frac_zero_std_joint,frac_zero_std_sep
2011,118,0.0005814551371177847,0.0005758109342118315,-5.644202905953108e-06,0.002021173412718452,0.0013273192843732697,-0.0006938541283451824,0.0002529843834327616,9.312990582174934e-09,-0.00025297507044217944,-0.016818772206550148,0.940677966101695,0.0
2012,121,0.00034546283366326683,0.00034431537272604077,-1.14746093722593e-06,0.001322362532894409,0.0012971160004414354,-2.5246532452973675e-05,0.00017005696539671558,0.0,-0.00017005696539671558,0.13291402778729958,1.0,0.0
2013,123,0.00032198146586198727,0.00032217519946963483,1.9373360764758023e-07,0.0012128180478149409,0.0012007344576385446,-1.2083590176396224e-05,0.0001703433909321615,5.7341170624156124e-09,-0.00017033765681509906,0.12603132895223007,0.991869918699187,0.0
2014,129,0.000520197162801257,0.000519828196616149,-3.6896618510796243e-07,0.001260514042816299,0.0013434284523258688,8.291440950956982e-05,0.00026050922640047727,6.978665594058666e-10,-0.0002605085285339178,0.677345311384308,0.9922480620155039,0.0
2015,127,0.0005082523313584826,0.0005073348199462847,-9.175114121977316e-07,0.0017006628361822078,0.001436673719816075,-0.0002639891163661327,0.00022132875893432526,0.0,-0.00022132875893432526,-0.05233006185649593,1.0,0.0
2016,130,0.00038442780206463396,0.00038402948500936755,-3.983170552664453e-07,0.0016168997041195205,0.0013944132626330695,-0.00022248644148645095,0.00019069547866919725,0.0,-0.00019069547866919725,-0.002963785147707824,1.0,0.0
2017,130,0.00027909290130809954,0.00027906592030193194,-2.6981006167605212e-08,0.0010576921522212797,0.0011652385304509031,0.00010754637822962343,0.00018808102670180512,0.0,-0.00018808102670180512,-0.10729503322284066,1.0,0.0
2018,131,0.0004458186710404858,0.00044474929277499726,-1.0693782654885541e-06,0.0012344300327633043,0.0013466504287335428,0.00011222039597023848,0.0002018855227710149,1.8698805192889564e-07,-0.000201698534719086,-0.07201723114739338,0.9770992366412213,0.0
2019,129,0.00044850582277871704,0.00044367805010232054,-4.827772676396439e-06,0.0015374170133047908,0.001202577008699711,-0.00033484000460507987,0.00021529351358655274,0.0,-0.00021529351358655274,0.6108242925232652,1.0,0.0
2020,128,0.000821234774474459,0.0008200064083380245,-1.2283661364343688e-06,0.0012952562972625428,0.0012783172912189619,-1.6939006043580887e-05,0.0003760665504831218,0.0,-0.0003760665504831218,0.12560746421471805,1.0,0.0
2021,126,0.00033825149978137056,0.0003395282505561851,1.2767507748145468e-06,0.0011959935033693141,0.001419360622707553,0.00022336711933823887,0.00017085852114257034,0.0,-0.00017085852114257034,-0.20354146577631485,1.0,0.0
2022,126,0.0005898386260241826,0.0005886860976927842,-1.152528331398342e-06,0.001233197945639269,0.001216074082187254,-1.7123863452015147e-05,0.00023654888674656078,0.0,-0.00023654888674656078,-0.33004731330476705,1.0,0.0
2023,123,0.0005301122724806551,0.0005302255520509338,1.1327957027873199e-07,0.001362392116476502,0.0011818003788849922,-0.00018059173759150992,0.00019191177577773463,1.6731313719073153e-13,-0.0001919117756104215,-0.0794835988468265,1.0,0.0
2024,119,0.0012128677357945497,0.00121533226500335,2.4645292088004694e-06,0.0015868303866265461,0.0010776012915838535,-0.0005092290950426926,0.00019944317435030911,2.2088989809169503e-06,-0.00019723427536939218,-0.7961296482115614,0.9663865546218487,0.0
2025,118,0.00070058831371759,0.0007008049349895255,2.1662127193534026e-07,0.0017830402910989935,0.001163229944279512,-0.0006198103468194815,0.000226137384277594,0.0,-0.000226137384277594,-0.1385338832286124,1.0,0.0
